Key	Author	Title	Url	Date	Num Pages	Num Pages (est.)	Publisher	Place	Call Number	Manual Tags	Editor	Translator	Contributor
NQWC7GH2	Auger, Hippolyte (1796-1881)	Physiologie du théâtre, tome II	http://gallica.bnf.fr/ark:/12148/bpt6k9611913k	1839	340	340	Firmin-Didot frères	Paris	http://catalogue.bnf.fr/ark:/12148/cb300381277/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Done; etat_TODO-Stylage; modeGallica_texte; priorite_2; responsable_Alexandre-Critique"			
HJV8B3NB	Barbey d'Aurevilly, Jules (1808-1889)	Les oeuvres et les hommes, 7 : Sensations d'art	http://gallica.bnf.fr/ark:/12148/bpt6k114075t	1886	341	341	Amyot : [puis] V. Palmé : [puis] L. Frinzine	Paris	http://catalogue.bnf.fr/ark:/12148/cb30054500r	"BNF_2014-03_COM; corpus_Critique; corpus_Sciences; etat_NUM-Done; modeGallica_texte; priorite_1; responsable_Alexandre-Critique; responsable_Riguet-Lettres"			
NDQQ28H4	Bourget, Paul (1852-1935)	Sensations d'Italie : Toscane. Ombrie. Grande-Grèce	http://gallica.bnf.fr/ark:/12148/bpt6k9610094m	1891	342	342	A. Lemerre	Paris	http://catalogue.bnf.fr/ark:/12148/cb301465633/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Done; etat_TODO-Stylage; modeGallica_texte; priorite_2; responsable_Alexandre-Sources"			
62ESF6UG	Merlet, Gustave (1828-1891)	Tableau de la littérature française, 1800-1815 : IIII. La critique et l'éloquence	http://gallica.bnf.fr/ark:/12148/bpt6k96166771	1883	342	342	Didier	Paris	http://catalogue.bnf.fr/ark:/12148/cb30931036s/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Done; etat_TODO-Stylage; modeGallica_texte; priorite_2; responsable_Alexandre-Critique"			
KFFRP2HQ	Rageot, Gaston (1871-1942)	La beauté : essai d'esthétique historique	http://gallica.bnf.fr/ark:/12148/bpt6k9617311j	1924	342	342	Plon-Nourrit	Paris	http://catalogue.bnf.fr/ark:/12148/cb31171635p/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Done; etat_TODO-Stylage; modeGallica_texte; responsable_Alexandre-Critique"			
ZF49HNII		Chateaubriand : textes choisis et commentés, tome II	http://gallica.bnf.fr/ark:/12148/bpt6k96251830	1912	343	343	Plon-Nourrit	Paris	http://catalogue.bnf.fr/ark:/12148/cb31933965g/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Done; etat_TODO-Stylage; modeGallica_texte; priorite_2; responsable_Alexandre-Critique"	Beaunier, André (1869-1925)		
UB6DRPN6	"Chamfort, Sébastien-Roch-Nicolas de (1741-1794); Ginguené, Pierre-Louis (1748-1816)"	Oeuvres de Chamfort, recueillies et publiées par un de ses amis (Ginguené), vol. 2	http://gallica.bnf.fr/ark:/12148/bpt6k96080030	1795	343	343	Impr. des sciences et des arts	Paris	http://catalogue.bnf.fr/ark:/12148/cb302179708/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Done; etat_TODO-Stylage; modeGallica_texte; priorite_1; responsable_Alexandre-Critique"			
5UXAE3KC	Janin, Jules (1804-1874)	Critique : portraits et caractères contemporains	http://obvil.paris-sorbonne.fr/corpus/critique/janin_critique/	1859	344	344	L. Hachette	Paris	http://catalogue.bnf.fr/ark:/12148/cb30645151m/PUBLIC	"BNF_2014-03_COM; corpus_Critique; corpus_Sciences; etat_DONE; etat_NUM-Done; responsable_Alexandre-Critique; responsable_Riguet-Lettres"			
MAZR2X6X	Larroumet, Gustave (1852-1902)	Nouvelles études de littérature et d'art (Études de littérature et d'art : 2e série)	"http://gallica.bnf.fr/ark:/12148/bpt6k9692281h?rk=42918;4"	1894	344	344	Hachette	Paris	http://catalogue.bnf.fr/ark:/12148/cb307441777/PUBLIC	"BNF_2014-03_COM; CHARGÉ; corpus_Critique; etat_NUM-Done; etat_TODO-OCR; priorite_2; responsable_Alexandre-Critique"			
RBGMDF77	Daudet, Alphonse (1840-1897)	Les femmes d'artistes. Robert Helmont. Études et paysages	http://gallica.bnf.fr/ark:/12148/bpt6k96149672	1929	346	346	A. Lemerre	Paris	http://catalogue.bnf.fr/ark:/12148/cb319965551/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Done; etat_TODO-Stylage; modeGallica_texte; responsable_Alexandre-Sources"			
