Key	Author	Title	Url	Date	Num Pages	Publisher	Place	Call Number	Manual Tags	Editor	Translator	Contributor
JQ2BP3KU	Vandérem, Fernand (1864-1939)	Le Miroir des lettres, 3e série (1920)	https://archive.org/details/lemiroirdeslettr03vand	1921	268	E. Flammarion	Paris	http://catalogue.bnf.fr/ark:/12148/cb36574327b/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Commandée; priorite_2; responsable_Alexandre-Critique"			
TN289FC7	Vandérem, Fernand (1864-1939)	Le Miroir des lettres, 4e série (1921)	https://archive.org/details/lemiroirdeslettr04vand	1922	302	E. Flammarion	Paris	http://catalogue.bnf.fr/ark:/12148/cb36574327b/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Commandée; priorite_2; responsable_Alexandre-Critique"			
4RUZAN2W	Vandérem, Fernand (1864-1939)	Le Miroir des lettres, 5e série (1924)		1924		E. Flammarion	Paris	http://catalogue.bnf.fr/ark:/12148/cb36574327b/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Commandée; priorite_2; responsable_Alexandre-Critique"			
H55G56VI	Vandérem, Fernand (1864-1939)	Le Miroir des lettres, 6e série (1923)		1925		E. Flammarion	Paris	http://catalogue.bnf.fr/ark:/12148/cb36574327b/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Commandée; priorite_2; responsable_Alexandre-Critique"			
D76H6ADP	Vandérem, Fernand (1864-1939)	La Littérature		1926	64	Hachette	Paris	http://catalogue.bnf.fr/ark:/12148/cb315317841/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Commandée; priorite_2; responsable_Alexandre-Critique"			
G368266N	Vandérem, Fernand (1864-1939)	Le Miroir des lettres, 7e série (1924)		1929		E. Flammarion	Paris	http://catalogue.bnf.fr/ark:/12148/cb36574327b/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Commandée; priorite_2; responsable_Alexandre-Critique"			
MQM8JDRC	Vandérem, Fernand (1864-1939)	Le Miroir des lettres, 8e série (1925-1926)		1929		E. Flammarion	Paris	http://catalogue.bnf.fr/ark:/12148/cb36574327b/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Commandée; priorite_2; responsable_Alexandre-Critique"			
7GCFFXND	Vandérem, Fernand (1864-1939)	Gens de qualité : Mme Aubernon, M. Arman, une élection, Capus, Mirbeau, Hervieu, Lenôtre, Boylesve, Sem, Minimes		1938	255	Plon	Paris	http://catalogue.bnf.fr/ark:/12148/cb31531783p/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Commandée; priorite_2; responsable_Alexandre-Critique"			
9VCD9EZN	"Vauvenargues, Luc de Clapiers (1715-1747 ; marquis de)"	Oeuvres complètes de Vauvenargues, précédées d'une notice sur sa vie et ses ouvrages et accompagnées des notes de Voltaire, Morellet et Suard. Nouvelle édition…, tome 3 (= Oeuvres posthumes de Vauvenargues, précédées de son éloge, par M. Ch. de Saint-Maurice, et accompagnées de notes et de lettres inédites de Voltaire)		1827	330	Brissot-Thivars	Paris	http://catalogue.bnf.fr/ark:/12148/cb31550272t/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Commandée; priorite_1; responsable_Alexandre-Critique"	"Morellet, André (1727-1819); Voltaire (1694-1778); Suard, Jean-Baptiste-Antoine (1732-1817)"		
NNWX2CDI	Vega, Lope de (1562-1635)	Censura de Lope de Vega Carpio, impressa en su «Filomena», año 1621, sobre la poesía culta .[-Respuesta a la censura antecedente. (Firmada : Diego de Colmenares, Segovia, 13 de noviembre de 1621.) - Respuesta a la carta antecedente, de Lope de Vega Carpio, impressa en la «Circe», año de 1624. - Respuesta a la carta antecedente, por sus mismos puntos. (Firmada : Diego de Colmenares, Segovia, 23. de abril de 1624.)]		1621	24	s. n.	s. l.	http://catalogue.bnf.fr/ark:/12148/cb31552835r/PUBLIC	"BNF_2014-03_COM; corpus_Gongorismes; etat_NUM-Commandée; PB-BN-RESERVE; priorite_3; responsable_Blanco"			
AEJ66GT5	Voltaire (1694-1778)	Supplément au Siècle de Louis XIV, avec les additions et changemens pour diverses éditions. Examen du «Testament politique du cardinal Alberoni». Catilina, tragédie		1753		"[s.n.] ; chez Antoine Philibert"	"Dresde ; Genève"	http://catalogue.bnf.fr/ark:/12148/cb31604818s/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Commandée; priorite_1; responsable_Gavoty"			
J77STDC7	Voltaire (1694-1778)	Œuvres de Voltaire, , avec préfaces, avertissements, notes, etc. par M. Beuchot, tome 35 : Commentaires sur Corneille - tome I	https://books.google.fr/books?id=eHZJAAAAcAAJ	1829	614	Werdet et Lequien fils, Firmin Didot frères	Paris	http://catalogue.bnf.fr/ark:/12148/cb316944176/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Commandée; priorite_1; responsable_Gavoty"			
HNJ39NIZ	Voltaire (1694-1778)	Œuvres de Voltaire, , avec préfaces, avertissements, notes, etc. par M. Beuchot, tome 36 : Commentaires sur Corneille - tome II	https://books.google.fr/books?id=eh04AQAAIAAJ	1829	539	Werdet et Lequien fils, Firmin Didot frères	Paris	http://catalogue.bnf.fr/ark:/12148/cb316944176/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Commandée; priorite_1; responsable_Gavoty"			
F38JZ2TH	"Wyzewa, Théodore de (1862-1917); Perreau, Xavier"	Les grands peintres de l'Allemagne, de la France (période contemporaine), de l'Espagne et de l'Angleterre, suivi de l'histoire sommaire de la peinture japonaise		1891	192	Firmin-Didot	Paris	http://catalogue.bnf.fr/ark:/12148/cb31672885w/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Commandée; priorite_2; responsable_Alexandre-Art"			
EVUSNGK3	Wyzewa, Théodore de (1862-1917)	Nos maîtres, études et portraits littéraires	https://archive.org/details/nosmaitrestude00wyze	1895	368	Perrin	Paris	http://catalogue.bnf.fr/ark:/12148/cb31672893h/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Commandée; priorite_2; responsable_Alexandre-Critique"			
5DMZZ76F	Wyzewa, Théodore de (1862-1917)	Beethoven et Wagner : essai d'histoire et de critique musicales…, nouv. éd.	https://archive.org/details/beethovenetwagne00wyze	1914	282	Perrin et Cie	Paris	http://catalogue.bnf.fr/ark:/12148/cb31672860j/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Commandée; priorite_2; responsable_Alexandre-Musique"			
IKSDJ2BS	Zola, Émile (1840-1902)	Œuvres complètes, XLVIII. Correspondance : 1858-1871, notes et commentaires de Maurice Le Blond		1928		F. Bernouard	Paris	http://catalogue.bnf.fr/ark:/12148/cb316904951/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Commandée; PB-BN-RICHELIEU; priorite_2; responsable_Alexandre-Critique"	Le Blond, Maurice (1877-1944)		
KPTZXMRW	Zola, Émile (1840-1902)	Œuvres complètes, XLIX. Correspondance : 1872-1902, notes et commentaires de Maurice Le Blond		1929		F. Bernouard	Paris	http://catalogue.bnf.fr/ark:/12148/cb316904951/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Commandée; PB-BN-RICHELIEU; priorite_2; responsable_Alexandre-Critique"	Le Blond, Maurice (1877-1944)		
WN2H2NV7	Zyromski, Ernest (1862-1933)	Sully Prudhomme	https://archive.org/details/sullyprudhomme00zyrouoft	1907	269	A. Colin	Paris	http://catalogue.bnf.fr/ark:/12148/cb31694335v/PUBLIC	"BNF_2014-03_COM; CHARGÉ; corpus_Critique; etat_NUM-Commandée; etat_TODO-OCR; priorite_2; responsable_Alexandre-Critique"			
					70163							
